Probe Set ID	Percentile
1007_s_at	-23.5972
1053_at	-76.3994
117_at	96.8477
121_at	-38.6307
1255_g_at	-70.6184
1294_at	75.2965
1316_at	-67.1161
1320_at	-25.0455
1405_i_at	19.8582
1431_at	-19.5256
1438_at	-31.2336
1487_at	18.6298
1494_f_at	-61.1451
1552256_a_at	-22.6061
1552257_a_at	-24.0061
1552258_at	75.2898
1552261_at	-67.6128
1552263_at	96.7564
1552264_a_at	98.4924
1552266_at	-50.3741
1552269_at	-38.9471
1552271_at	39.0408
1552272_a_at	-81.139
1552274_at	85.6369
1552275_s_at	74.8349
1552276_a_at	17.4479
1552277_a_at	-3.36626
1552278_a_at	-41.9716
1552279_a_at	-57.5921
1552280_at	-48.6463
1552281_at	-39.3184
1552283_s_at	-30.2496
1552286_at	-38.2369
1552287_s_at	-87.9632
1552288_at	-66.31
1552289_a_at	-48.3655
1552291_at	86.5834
1552293_at	7.2123
1552295_a_at	-36.4574
1552296_at	-74.9818
1552299_at	-69.3735
1552301_a_at	-57.4178
1552302_at	-95.3746
1552303_a_at	46.8302
1552304_at	-24.981
1552306_at	-10.6455
1552307_a_at	-22.1443
1552309_a_at	-21.0659
1552310_at	-56.4917
1552311_a_at	71.0926
1552312_a_at	42.8255
1552314_a_at	26.0146
1552315_at	-98.8653
1552316_a_at	10.5642
1552318_at	0.708121
1552319_a_at	-62.2135
1552320_a_at	-71.1449
1552321_a_at	-80.3538
1552322_at	-99.7813
1552323_s_at	6.90397
1552325_at	-74.7263
1552326_a_at	-43.8142
1552327_at	-36.2521
1552329_at	-67.8582
1552330_at	-80.3429
1552332_at	69.7185
1552334_at	92.7113
1552335_at	-81.5515
1552337_s_at	-54.5638
1552338_at	32.411
1552340_at	47.3223
1552343_s_at	50.8244
1552344_s_at	-92.5049
1552347_at	18.5041
1552348_at	84.7467
1552349_a_at	79.2093
1552354_at	11.9627
1552355_s_at	39.0483
1552359_at	-41.9257
1552360_a_at	7.36329
1552362_a_at	-34.2848
1552364_s_at	-88.4812
1552365_at	-35.5823
1552367_a_at	-26.2923
1552368_at	-57.1846
1552370_at	66.7945
1552372_at	-92.2825
1552373_s_at	28.8207
1552375_at	84.3321
1552377_s_at	-79.0503
1552378_s_at	-5.85551
1552379_at	-93.6087
1552381_at	-77.312
1552383_at	45.6936
1552384_a_at	47.4648
1552386_at	91.7348
1552388_at	23.6493
1552389_at	-49.6339
1552390_a_at	-44.8498
1552391_at	8.13974
1552393_at	-67.0185
1552394_a_at	-75.8337
1552395_at	-86.2477
1552396_at	-85.0979
1552398_a_at	63.7428
1552399_a_at	0.17303
1552400_a_at	-69.9738
1552401_a_at	-95.4466
1552402_at	2.10854
1552405_at	-77.7612
1552408_at	-82.1269
1552409_a_at	-64.6186
1552410_at	-67.3599
1552411_at	-54.7001
1552412_a_at	-89.8952
1552414_at	-63.6334
1552415_a_at	-70.2087
1552417_a_at	-67.0685
1552418_at	58.5218
1552419_s_at	-95.3557
1552421_a_at	-85.7685
1552422_at	-58.6158
1552423_at	84.0412
1552424_at	-95.6797
1552425_a_at	-41.5736
1552426_a_at	56.0392
1552427_at	-21.0638
1552430_at	-51.637
1552432_at	27.9261
1552436_a_at	64.8646
1552438_a_at	-37.1332
1552439_s_at	-66.9269
1552440_at	4.12605
1552445_a_at	-60.7036
1552448_a_at	-66.6667
1552449_a_at	-84.371
1552450_a_at	-65.2792
1552452_at	-99.316
1552453_a_at	15.211
1552455_at	-47.1672
1552456_a_at	-83.1486
1552457_a_at	-58.9587
1552458_at	-48.9755
1552459_a_at	28.2403
1552461_at	-65.9186
1552463_at	-52.7039
1552466_x_at	-55.8224
1552467_at	-83.16
1552468_a_at	-53.1167
1552470_a_at	-82.385
1552472_a_at	98.9079
1552473_at	-49.757
1552474_a_at	-54.4823
1552476_s_at	-43.3484
1552477_a_at	-65.8467
1552478_a_at	-48.2484
1552480_s_at	79.3824
1552481_s_at	-29.8648
1552482_at	-45.9714
1552484_at	36.8297
1552485_at	56.2255
1552486_s_at	58.5393
1552487_a_at	-69.2126
1552489_s_at	-52.3798
1552490_at	-40.7685
1552491_at	-58.567
1552493_s_at	-82.789
1552494_at	47.9859
1552496_a_at	-40.4228
1552497_a_at	9.83455
1552498_at	-82.438
1552499_a_at	-40.9453
1552501_a_at	-98.4792
1552502_s_at	-26.564
1552503_at	-77.8929
1552504_a_at	-99.1109
1552506_at	39.1756
1552507_at	-41.1499
1552508_at	-39.3827
1552509_a_at	-33.6667
1552510_at	15.6181
1552511_a_at	-74.4688
1552514_at	-54.5737
1552515_at	60.7982
1552516_a_at	90.8835
1552518_s_at	-23.27
1552519_at	-22.9906
1552520_at	-31.5678
1552521_a_at	-38.2922
1552522_at	-54.672
1552523_a_at	-59.8543
1552524_at	10.3539
1552526_at	-92.738
1552528_at	49.8632
1552531_a_at	-42.816
1552532_a_at	-68.182
1552535_at	0.418293
1552536_at	77.7301
1552538_a_at	-95.1605
1552540_s_at	-83.5461
1552541_at	93.6554
1552542_s_at	97.1773
1552543_a_at	-84.5502
1552544_at	-47.3775
1552546_a_at	55.7302
1552548_at	57.8039
1552549_a_at	27.4785
1552552_s_at	65.4394
1552553_a_at	71.8288
1552554_a_at	48.685
1552555_at	36.547
1552557_a_at	-54.244
1552558_a_at	45.7147
1552559_a_at	4.98841
1552562_at	-38.6326
1552563_a_at	-55.2933
1552564_at	-95.4405
1552566_at	-63.3305
1552568_at	-68.9661
1552569_a_at	-65.9515
1552570_at	18.1182
1552572_a_at	-28.9508
1552573_s_at	-29.8446
1552575_a_at	-22.7381
1552576_at	-98.5263
1552578_a_at	-48.2821
1552579_a_at	-73.4318
1552580_at	51.1358
1552582_at	-75.5586
1552583_s_at	-45.9323
1552584_at	41.1698
1552585_s_at	-47.8739
1552586_at	28.1538
1552587_at	-72.9101
1552588_a_at	-78.6639
1552590_a_at	-51.583
1552592_at	-59.9952
1552594_at	-75.2264
1552596_at	32.9303
1552598_at	-93.9905
1552599_at	-87.8788
1552602_at	7.86325
1552604_at	-96.6349
1552605_s_at	-78.5321
1552607_at	67.3884
1552608_at	-69.8642
1552609_s_at	64.1688
1552610_a_at	97.5646
1552611_a_at	89.2124
1552612_at	82.9426
1552613_s_at	79.031
1552615_at	5.16273
1552616_a_at	-88.5819
1552617_a_at	99.5809
1552618_at	47.1674
1552619_a_at	-25.6305
1552620_at	-96.381
1552621_at	36.8079
1552622_s_at	46.0259
1552623_at	90.7389
1552625_a_at	-50.8938
1552626_a_at	-29.2243
1552627_a_at	-20.6046
1552628_a_at	93.5302
1552629_a_at	19.9024
1552630_a_at	57.1091
1552631_a_at	9.56246
1552632_a_at	96.4209
1552633_at	-97.6043
1552634_a_at	5.19335
1552637_at	-73.2243
1552639_at	-90.4129
1552641_s_at	-35.5767
1552643_at	40.1155
1552644_a_at	16.8034
1552646_at	-79.9893
1552648_a_at	-82.785
1552649_a_at	96.9155
1552651_a_at	96.3546
1552652_at	-46.8995
1552656_s_at	-95.2985
1552657_a_at	21.0048
1552658_a_at	-78.1944
1552660_a_at	-54.3512
1552661_at	-82.4681
1552662_a_at	-35.4602
1552663_a_at	-50.3561
1552664_at	-86.477
1552665_at	-61.3917
1552666_a_at	-84.8714
1552667_a_at	98.6755
1552669_at	38.7834
1552670_a_at	98.3125
1552671_a_at	-63.5338
1552672_a_at	-71.8159
1552673_at	-49.5299
1552674_at	-74.7914
1552675_at	-85.1774
1552676_at	-72.2721
1552677_a_at	42.263
1552678_a_at	-17.313
1552680_a_at	-17.2813
1552682_a_at	-26.2133
1552684_a_at	-42.2645
1552685_a_at	-58.1792
1552686_at	33.9965
1552687_a_at	28.8906
1552689_at	-24.4524
1552690_a_at	-56.9559
1552691_at	88.2814
1552693_at	85.1701
1552694_at	-59.1026
1552695_a_at	-17.8989
1552696_at	-23.6285
1552698_at	-67.2824
1552701_a_at	98.0212
1552703_s_at	97.6148
1552705_at	-27.9031
1552708_a_at	-41.6062
1552711_a_at	-80.8418
1552712_a_at	-53.6017
1552713_a_at	-73.9367
1552714_at	-45.1258
1552715_a_at	-46.9907
1552716_at	-30.9106
1552717_s_at	15.0298
1552718_at	-64.6863
1552719_at	97.291
1552721_a_at	-49.9148
1552722_at	-48.8551
1552724_at	-86.0496
1552725_s_at	4.16526
1552726_at	-43.9827
1552727_s_at	-28.0489
1552729_at	-52.6901
1552730_at	36.0692
1552731_at	-84.4601
1552732_at	-56.7791
1552733_at	-18.1747
1552734_at	91.1059
1552735_at	-11.3871
1552736_a_at	-52.2042
1552737_s_at	95.562
1552738_a_at	-46.778
1552739_s_at	-4.54517
1552740_at	-70.2678
1552742_at	-49.5836
1552743_at	22.1568
