ArrayID	c Tissue
GSM310435	Naïve B cells
GSM310439	Memory B cells
GSM310429	Germinal Center B cells
GSM310437	Naïve B cells
GSM310440	Memory B cells
GSM310432	Plasma B cells
GSM310431	Germinal Center B cells
GSM310436	Naïve B cells
GSM310430	Germinal Center B cells
GSM310438	Memory B cells
GSM310434	Plasma B cells
GSM310433	Plasma B cells
GSM338973	Universal RNA
GSM338972	ASPS Tumor
GSM338982	ASPS Tumor
GSM338968	ASPS Tumor
GSM338412	ASPS Tumor
GSM338969	ASPS Tumor
GSM338971	ASPS Tumor
GSM338995	ASPS Tumor
GSM338413	ASPS Tumor
GSM338964	ASPS Tumor
GSM338966	ASPS Tumor
GSM338967	ASPS Tumor
GSM338963	ASPS Tumor
GSM338974	Universal RNA
GSM338970	ASPS Tumor
GSM338965	ASPS Tumor
GSM403273	microglia derived from glioblastoma  
GSM403272	glioblastoma
GSM101095	airway epithelial cells obtained by bronchoscopy and brushing
GSM114096	airway epithelial cells obtained by bronchoscopy and brushing
GSM114098	airway epithelial cells obtained by bronchoscopy and brushing
GSM101107	airway epithelial cells obtained by bronchoscopy and brushing
GSM101101	airway epithelial cells obtained by bronchoscopy and brushing
GSM114091	airway epithelial cells obtained by bronchoscopy and brushing
GSM101109	airway epithelial cells obtained by bronchoscopy and brushing
GSM101113	airway epithelial cells obtained by bronchoscopy and brushing
GSM114103	airway epithelial cells obtained by bronchoscopy and brushing
GSM101103	airway epithelial cells obtained by bronchoscopy and brushing
GSM114090	airway epithelial cells obtained by bronchoscopy and brushing
GSM101108	airway epithelial cells obtained by bronchoscopy and brushing
GSM101098	airway epithelial cells obtained by bronchoscopy and brushing
GSM114094	airway epithelial cells obtained by bronchoscopy and brushing
GSM101116	airway epithelial cells obtained by bronchoscopy and brushing
GSM101106	airway epithelial cells obtained by bronchoscopy and brushing
GSM114099	airway epithelial cells obtained by bronchoscopy and brushing
GSM114102	airway epithelial cells obtained by bronchoscopy and brushing
GSM101100	airway epithelial cells obtained by bronchoscopy and brushing
GSM114093	airway epithelial cells obtained by bronchoscopy and brushing
GSM114092	airway epithelial cells obtained by bronchoscopy and brushing
GSM101111	airway epithelial cells obtained by bronchoscopy and brushing
GSM114095	airway epithelial cells obtained by bronchoscopy and brushing
GSM101114	airway epithelial cells obtained by bronchoscopy and brushing
GSM101115	airway epithelial cells obtained by bronchoscopy and brushing
GSM114101	airway epithelial cells obtained by bronchoscopy and brushing
GSM101096	airway epithelial cells obtained by bronchoscopy and brushing
GSM101104	airway epithelial cells obtained by bronchoscopy and brushing
GSM101097	airway epithelial cells obtained by bronchoscopy and brushing
GSM101112	airway epithelial cells obtained by bronchoscopy and brushing
GSM114100	airway epithelial cells obtained by bronchoscopy and brushing
GSM114089	airway epithelial cells obtained by bronchoscopy and brushing
GSM101099	airway epithelial cells obtained by bronchoscopy and brushing
GSM101105	airway epithelial cells obtained by bronchoscopy and brushing
GSM114105	airway epithelial cells obtained by bronchoscopy and brushing
GSM101102	airway epithelial cells obtained by bronchoscopy and brushing
GSM101110	airway epithelial cells obtained by bronchoscopy and brushing
GSM114104	airway epithelial cells obtained by bronchoscopy and brushing
GSM60553	C7R1 dim-high cell line
GSM60597	B-ALL patient 32, peripheral blood
GSM60595	T-ALL patient 25, peripheral blood
GSM60547	PreB 697 cell line
GSM60590	healthy donor HD1, peripheral blood
GSM60594	T-ALL patient 25, peripheral blood
GSM60588	healthy donor HD1, peripheral blood
GSM60583	PreB 697 R4G4 cell line
GSM60591	healthy donor HD2, peripheral blood
GSM60555	C7H2 cell line
GSM60584	PreB 697 R4G4 cell line
GSM60544	C7H2 cell line
GSM60542	C7H2 cell line
